id;desvionum;tailnum
895;0;N356SW
896;0;N356SW
897;0;N664UA
898;0;N671UA
899;0;N214UA
900;0;N554UA
901;0;N508UA
902;0;N502UA
903;0;N824AW
904;0;N824AW
905;0;N319AA
906;0;N327AA
907;0;N319AA
908;0;N21108
909;0;N17105
910;0;N33103
911;0;N838MH
912;0;N900PC
913;0;N621DL
914;0;N982AT
915;0;N971AT
916;0;N998AT
917;0;N585HA
918;0;N583HA
919;0;N584HA
920;0;N360SW
921;0;N360SW
922;0;N360SW
923;0;N360SW
924;0;N360SW
925;0;N360SW
926;0;N635SW
927;0;N635SW
928;0;N635SW
929;0;N635SW
930;0;N635SW
931;0;N635SW
932;0;N664UA
933;0;N671UA
934;0;N214UA
935;0;N640AW
936;0;N640AW
937;0;N619AW
938;0;N619AW
939;0;N184JB
940;0;N231JB
941;0;N249JB
942;0;N39415
943;0;N47414
944;0;N73276
945;0;N721TW
946;0;N3743H
947;0;N3738B
948;0;N982AT
949;0;N971AT
950;0;N998AT
951;0;N583HA
952;0;N584HA
953;0;N593HA
954;0;N612SW
955;0;N612SW
956;0;N208WN
957;0;N208WN
958;0;N675UA
959;0;N373UA
960;0;N548AS
961;0;N594AS
962;0;N715JB
963;0;N565JB
964;0;N579JB
965;0;N18220
966;0;N54241
967;0;N38257
968;0;N3752
969;0;N3742C
970;0;N391DA
971;0;N664WN
972;0;N664WN
973;0;N664WN
974;0;N376SW
975;0;N376SW
976;0;N376SW
977;0;N534UA
978;0;N523UA
979;0;N526UA
980;0;N672UA
981;0;N675UA
982;0;N676UA
983;0;N838AW
984;0;N803AW
985;0;N548AS
986;0;N548AS
987;0;N594AS
988;0;N594AS
989;0;N625JB
990;0;N598JB
991;0;N655JB
992;0;N34137
993;0;N67052
994;0;N19130
995;0;N6706Q
996;0;N665DN
997;0;N664DN
998;0;N733SA
999;0;N733SA
1000;0;N733SA
1001;0;N258WN
1002;0;N258WN
1003;0;N258WN
1004;0;N672UA
1005;0;N676UA
1006;0;N589AS
1007;0;N306AS
1008;0;N529JB
1009;0;N653JB
1010;0;N633JB
1011;0;N646DL
1012;0;N900PC
1013;0;N330AT
1014;0;N272AT
1015;0;N308AT
1016;0;N589HA
1017;0;N586HA
1018;0;N585HA
1019;0;N512SW
1020;0;N512SW
1021;0;N512SW
1022;0;N610WN
1023;0;N352SW
1024;0;N352SW
1025;0;N203UA
1026;0;N369UA
1027;0;N350UA
1028;0;N5ECAA
1029;0;N5DFAA
1030;0;N5FDAA
1031;0;N589AS
1032;0;N306AS
1033;0;N529JB
1034;0;N653JB
1035;0;N633JB
1036;0;N979AT
